user_id,timestamp,region,interaction_type,response_time,feedback_score,device_type
254103b9-0f4f-4f8e-b94d-b4a4a1124b31,2024-07-30T23:09:46,Europe,response,1.6,4.2,tablet
cb11c41e-e130-4cd9-82d4-2749dac8dc30,2024-11-28T05:07:27,Oceania,response,2.99,3.2,desktop
33896e7e-f78d-48c5-8df3-3c211fa8e81b,2024-11-27T21:35:21,Europe,query,2.83,3.3,desktop
ac76b1b8-a301-4322-8f22-d75fe3f2eee2,2024-06-30T08:24:50,South America,query,1.82,4.6,mobile
d52e1909-3da4-4796-b4d5-6317b98af604,2024-06-25T18:30:47,South America,query,0.79,,tablet
4afb15fc-87e6-4d84-9a79-fc0fcf70742c,2024-05-21T08:46:51,Oceania,query,2.37,2.9,desktop
dfa0d94a-4786-4bf2-9a87-8fc513560902,2024-07-08T04:37:39,Africa,query,0.35,,desktop
8eec09f3-46f4-4392-85dd-10538397a7f2,2024-02-10T12:36:43,Europe,query,2.52,2.6,desktop
03ec5bee-3ab8-44d6-ac4a-e09d7ae58c0b,2024-05-20T05:43:30,Oceania,query,1.72,1.3,desktop
ea8cc9f8-613d-4c11-98da-29cc898d046c,2024-11-26T13:19:32,Africa,response,1.12,4.6,desktop
41355a47-856a-44eb-a1ff-e67031b5ffb4,2024-04-23T17:26:44,North America,query,1.4,3.1,tablet
989ba860-8f2a-433f-a425-dfe764b898ee,2024-08-05T22:34:56,Asia,query,0.13,,tablet
7834a224-6766-47bf-8132-bf38f802a6b2,2024-01-07T06:41:53,Europe,query,0.76,2.3,mobile
1d06457b-9aaa-453b-b0a5-dc2372f7a97a,2024-10-03T22:31:24,Europe,query,1.17,,tablet
a090e273-da78-4e41-985b-1b04009bae30,2024-12-16T06:35:22,Europe,query,1.34,,tablet
e3624f50-5ad5-4df9-8e78-f85953de034e,2024-03-31T08:25:19,Asia,query,0.14,,mobile
c8431d9b-c2d5-4e2d-89e6-14527dcb3e3b,2024-06-17T03:18:23,Asia,response,1.23,,tablet
f8285583-e09c-4a85-9b2a-440dfa5df3d6,2024-09-11T07:20:10,Africa,response,0.89,2.6,desktop
b7d26d75-e7dd-4f28-8e7b-20c8a23ea5df,2024-12-04T22:37:59,North America,response,0.53,4.4,tablet
1894ab86-f341-4126-9d0f-028e46775a3d,2024-07-01T18:57:19,Oceania,response,1.6,3.9,mobile
dc4b0c16-c6ee-45eb-ba02-38433871ce1f,2024-10-31T17:53:41,Africa,response,2.77,,mobile
efe3bc16-c512-4d0f-ab18-6490e3cf5c00,2024-07-17T17:18:13,North America,response,2.77,,tablet
c2a645cb-e755-4997-a11c-b3da8881800d,2024-01-24T21:18:35,Asia,query,1.53,,tablet
0a1e294d-7487-4519-91a5-7ea87ca3ff7e,2024-07-09T15:44:18,Europe,response,1.77,,tablet
7cfa7eb1-8760-4719-a2e2-a24539c4c2c1,2024-04-06T23:02:40,Oceania,query,2.01,,tablet
0747f4e7-80ca-4a76-a9f6-54a71ed9af6f,2024-04-22T11:23:00,Africa,query,1.79,4.5,tablet
a32b682a-2023-4764-911d-8595da7e9f08,2024-08-30T00:30:00,Oceania,query,0.7,,tablet
07b2c254-4c3e-4c25-82fc-355c31a9041e,2024-04-25T22:58:26,Africa,response,2.86,2.4,desktop
8e0f57a3-1fb6-4471-95a9-63629ca059df,2024-12-22T07:14:38,Asia,response,0.63,,desktop
5fc5a026-e1d5-4fa4-b2fb-96cb8e37842d,2024-01-21T09:14:52,North America,response,0.26,4.3,tablet
1a821574-c9aa-47c2-a55a-ed4b52e283ef,2024-06-30T23:32:06,Asia,query,2.34,,tablet
18e4a73b-b49b-41f6-a7d8-f23e67a82633,2024-07-13T00:17:13,South America,response,2.52,3.1,tablet
07de1ede-f725-4138-bbca-05ac05169259,2024-10-23T17:49:40,Oceania,query,2.92,,mobile
b89db380-33c0-4906-9a46-316a525185bf,2024-04-15T12:03:43,Oceania,query,0.32,2.6,desktop
205f5f05-05b2-4ac3-81e2-32d2983e8d22,2024-03-11T14:10:20,Europe,query,1.46,4.7,desktop
54ed13c6-8e10-4436-a247-d38e2f943af6,2024-10-17T12:16:39,Africa,response,2.66,2.6,mobile
3a03e8e7-e5fe-49c5-a497-7b1e2c851618,2024-01-25T18:07:55,South America,response,1.41,,desktop
3751474f-6e14-4fcd-af45-bd1afd7ccd68,2024-05-27T12:58:01,Europe,response,1.28,,tablet
9144b8ac-a481-4147-9a76-e673627dc8c1,2024-02-17T03:00:16,Oceania,query,1.1,4.0,tablet
1eea6146-df93-4137-b095-0b3b9265225b,2024-02-10T16:46:01,Africa,query,2.35,,tablet
cdd785ee-1bee-4d48-bb8c-92498cd964f1,2024-03-04T04:03:16,Oceania,query,2.41,1.8,tablet
c39a8179-13a7-4142-9799-7dd7c2440511,2024-07-23T10:49:30,Oceania,query,0.4,,desktop
869a7729-b450-4f86-8944-7b104ac38bc8,2024-08-09T20:15:16,South America,response,0.12,4.3,mobile
c04ea0e5-0551-4c02-bdfe-3149f7b2af95,2024-09-12T02:22:39,Europe,query,2.95,2.7,tablet
ffcb2a1d-c69f-412a-b890-1038779a09a0,2024-06-04T08:16:52,Oceania,response,2.19,,desktop
46a0c104-d7b0-4336-b14f-7f34571b0ddb,2024-06-26T07:34:24,Africa,response,2.28,1.4,tablet
95b06b0c-6054-4d22-93c1-812131c072a0,2024-05-23T18:18:41,South America,query,2.5,,tablet
171e88f8-ed53-41f1-8b47-a62b2b220b2b,2024-10-16T03:44:48,Asia,response,0.42,3.8,desktop
5e7ea9ba-0f29-4c0f-80fe-9a887b046b86,2024-08-16T09:59:37,South America,response,0.29,,mobile
52436822-9696-4d68-80d7-0991e63b1d83,2024-10-22T21:57:38,North America,query,1.47,3.1,desktop
b6344de5-657f-48e0-9b44-9aef05d5ad4e,2024-09-22T19:03:21,Asia,query,2.69,2.0,desktop
8e84f626-6ffe-43d9-a039-295882cf5794,2024-10-07T08:34:28,Africa,response,1.33,2.3,tablet
34cbc79d-39d4-4f43-a412-7050c7fae2ec,2024-05-29T03:03:02,South America,query,0.62,,mobile
ba0f1a82-eb4b-4a33-ad53-ab862969fbbf,2024-05-22T17:33:54,South America,response,2.4,3.0,desktop
ececbdb5-768e-42f2-89cd-c78e4798a37c,2024-03-10T00:22:32,Africa,query,0.18,4.4,mobile
4426d53e-89ca-4380-ad51-96efccbb5a88,2024-11-22T11:28:15,South America,response,2.25,1.0,tablet
b6437268-55de-49d2-bc03-7e2911723317,2024-02-21T12:39:09,South America,response,2.34,,desktop
ee38f71f-8749-4f07-be81-e8fd4e43fbf3,2024-08-29T19:03:16,Oceania,query,0.43,,tablet
3257ad27-c5ee-445c-bc0e-7e66a5be0c82,2024-02-21T19:18:45,Europe,query,2.68,4.8,desktop
812ff7b5-0f22-4a1f-b9a5-cb99bfd4f8a4,2024-11-13T05:39:58,South America,response,2.76,4.3,desktop
eafc6ac0-eaa8-4cbe-aad3-b94230222526,2024-07-22T17:03:02,South America,query,1.6,,desktop
7cebd4a5-51e4-4138-87cc-991bfa3594d5,2024-10-06T08:03:25,Asia,response,0.9,,desktop
75f259a4-e18a-4ee6-8a61-c0fa63f128e5,2024-09-28T17:59:47,North America,query,1.56,3.0,tablet
1e4b8dce-98f6-4d85-ab25-131fb321bfd2,2024-11-17T17:21:21,North America,response,2.1,1.1,tablet
d56f3deb-1683-416c-b00d-2b5ecb6cc5e0,2024-11-12T15:13:14,South America,response,2.09,,desktop
d892d979-50c8-4385-a7cd-11d634b53f8d,2024-03-15T02:19:54,North America,query,1.35,,tablet
6672794c-6ff4-41e6-a35e-f6cc4f662a1d,2024-09-29T02:44:20,Europe,response,2.91,3.5,mobile
bbfd94e9-15c8-4468-9343-ea21bdfa0627,2024-07-03T08:05:16,South America,response,2.06,3.8,tablet
ae1a9189-656a-43d9-907d-9fa04006eb4d,2024-06-09T13:13:48,Oceania,response,0.71,2.0,mobile
562b26da-b785-4fd5-8385-1fab7e4f1266,2024-02-17T12:04:10,Oceania,query,0.81,3.1,desktop
32d7030b-7c4b-40ff-aa65-e91af4466dd8,2024-03-29T10:02:59,South America,query,2.01,4.0,tablet
fac5931d-6844-40bf-a4ec-03735d22e7d7,2024-08-02T03:25:04,North America,query,1.68,2.6,tablet
24463214-f17d-4913-9e2e-c5ef84648063,2024-03-01T13:41:29,Africa,query,2.58,,tablet
9bffc0a1-812d-47b3-9094-94ceeb130e31,2024-11-09T14:14:59,Africa,query,2.93,,tablet
55610524-c5e9-41c6-a628-02402653abea,2024-07-01T19:50:59,South America,response,2.38,,desktop
0063b6f9-6470-4498-a512-ef0983591210,2024-05-02T12:14:42,South America,query,0.73,,tablet
922a6e09-6d49-44b6-90a8-005394b46b15,2024-01-15T08:58:38,Africa,query,2.15,,desktop
ddcc6254-f808-4164-b693-ae96f3dbd396,2024-02-03T16:03:32,Oceania,query,2.76,2.4,mobile
907372ec-f3d8-47a0-afcc-68f61f4c50c9,2024-09-07T01:55:54,South America,response,2.12,4.2,desktop
1122c50b-a9a4-4c29-9a8f-f6a8a6d23dfe,2024-10-16T03:28:41,Oceania,query,1.53,,tablet
b4603212-32eb-406b-8f54-05a0f62ede7d,2024-01-28T22:33:18,North America,query,1.85,,tablet
57ca8683-2f7d-4afc-8410-fa88548945dd,2024-05-02T02:19:13,North America,query,2.09,1.3,mobile
7a404bad-4e5c-401e-aeba-b0869aab9be4,2024-09-14T22:21:53,Asia,query,0.81,2.2,mobile
460b8309-2e12-428a-bb6d-4ea80d966378,2024-04-19T10:25:30,Europe,response,2.11,2.6,tablet
18281c89-6fb2-4db7-a72e-11728b86ca0e,2024-07-31T14:52:30,South America,query,2.75,,tablet
3c66e889-7729-436b-8e41-1468944e270c,2024-08-14T14:31:07,North America,response,0.69,,mobile
2f57f9c4-b4c3-43f2-ab8f-4074948164e3,2024-05-21T19:32:04,North America,response,2.4,4.9,tablet
2a36bfa1-91c1-411d-962a-863f463e5a89,2024-02-15T22:56:49,Oceania,query,0.86,,tablet
f0c3c5ca-dfea-4b77-8e5d-d2aafd6d7751,2024-11-20T22:43:35,Asia,response,1.68,1.2,mobile
00bcd2e1-880b-45b6-adb3-42cb23346268,2024-07-31T04:53:46,Africa,response,2.28,,tablet
